"Code","Category","Name","Recipient","TriggerEvent","TemplateFound","FlowFound","Status"
"E-15","Partner","Verify your email address","Applicant","Registration sign-up OTP/verification","Verify_Email_Address","NONE","TEMPLATE EXISTS, FLOW PENDING"
"E-01","Partner","Welcome to Wadhwani Grants","Applicant","Account activated","Welcome_to_Wadhwani_Grants_your_account_is_ready","Wadhwani_Grants_Welcome_Email_for_Applicant.flow-meta","CONFIGURED"
"E-02","Partner","Your draft has been saved","Applicant","First save of RFI draft","Draft_Saved","Wadhwani_Grants_Email.flow-meta, Wadhwani_Grants_Email_Test.flow-meta","CONFIGURED"
"E-03","Partner","We have received your application","Applicant","Applicant submits RFI","Application_Received","Wadhwani_Grants_Email.flow-meta, Wadhwani_Grants_Email_Test.flow-meta, WIN_Proposal_Submission_Sent_email_Flow.flow-meta","CONFIGURED"
"E-04","Partner","Action required: update your application","Applicant","Validator returns for fixes (Flag 2)","Action_Required_Update_Application","Wadhwani_Grants_Email.flow-meta, Wadhwani_Grants_Email_Test.flow-meta","CONFIGURED"
"E-52","Partner","Reminder on a pending return (30/60/90 days)","Applicant","30, 60, 90 days in Returned for fixes","Additional_Information_Reminder","Wadhwani_Grants_Email.flow-meta","CONFIGURED"
"E-28","Partner","Your updated application is in","Applicant","Applicant resubmits after return","Resubmission_Received_Partner","Wadhwani_Grants_Email.flow-meta, Wadhwani_Grants_Email_Test.flow-meta","CONFIGURED"
"E-05","Partner","Your application is now being reviewed","Applicant","Validator passes application (Flag 3)","Application_Validated_Under_Review","Wadhwani_Grants_Email.flow-meta, Wadhwani_Grants_Email_Test.flow-meta","CONFIGURED"
"E-08","Partner","Application approved","Applicant","Approver approves (Flag 5)","Application_Approved","Wadhwani_Grants_Email.flow-meta, Wadhwani_Grants_Email_Test.flow-meta, WIN_Proposal_Submission_Sent_email_Flow.flow-meta","CONFIGURED"
"E-10","Partner","Application declined","Applicant","Approver declines OR Compliance rejected (Flag 11)","Application_Decision_Declined","Wadhwani_Grants_Email.flow-meta, Wadhwani_Grants_Email_Test.flow-meta, WF_Compliance_Document_flow.flow-meta","CONFIGURED"
"E-12","Partner","Compliance documents requested","Applicant","Reviewer requests compliance (Flag 6)","Compliance_Documents_Requested","Compliance_Documents_Wadhwani_Grants.flow-meta, WF_Compliance_Document_flow.flow-meta","CONFIGURED"
"E-62","Partner","Your document upload has started","Applicant","First save of compliance docs (Flag 7)","Compliance_your_document_upload_has_started","WF_Compliance_Document_flow.flow-meta","CONFIGURED"
