"TemplateName","TotalCommits","CreatedDate","CreatedCommit","CreatedSubject","LastModifiedDate","LastModifiedCommit","LastCommitSubject"
"Account_Locked","1",,"s",,,"e",
"Action_Required_Update_Application","1",,"s",,,"e",
"Additional_Information_Reminder","1",,"s",,,"e",
"Additional_Information_Reminder_60days","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 18:46:59 +0530","5f373f9","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Additional_Information_Reminder_90days","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 18:46:59 +0530","5f373f9","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Additional_Information_Requested","1",,"s",,,"e",
"Agreement_Executed_Partner","1",,"s",,,"e",
"Agreement_Ready_to_Sign","1",,"s",,,"e",
"All_Reviews_Complete_Approver_Alert","1",,"s",,,"e",
"Application_Approved","1",,"s",,,"e",
"Application_Conditionally_Approved","1",,"s",,,"e",
"Application_Decision_Declined","1",,"s",,,"e",
"Application_Received","1",,"s",,,"e",
"Application_Validated_Under_Review","1",,"s",,,"e",
"Application_Withdrawn","1",,"s",,,"e",
"Approver_Further_Detail_Request_PL","1",,"s",,,"e",
"Approver_Return_to_Partner","1",,"s",,,"e",
"A_decision_is_overdue","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 16:42:05 +0530","391c5e2","Configure Category 5 Approver email templates (E-22, E-47, E-55, E-33), create WG_Approver_Name__c field, and deploy WCF_Approver_Email_Alert_Flow"
"Clarification_Escalation_PL","1",,"s",,,"e",
"Clarification_Overdue_Partner","1",,"s",,,"e",
"Compliance_Cleared_Approver_Alert","1",,"s",,,"e",
"Compliance_Docs_Submitted_Validator","1",,"s",,,"e",
"Compliance_Documents_Approved","1",,"s",,,"e",
"Compliance_Documents_Reminder","1",,"s",,,"e",
"Compliance_Documents_Reminder_60_days","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 18:46:59 +0530","5f373f9","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Compliance_Documents_Reminder_90_days","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 18:46:59 +0530","5f373f9","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Compliance_Documents_Requested","1",,"s",,,"e",
"Compliance_documents_submitted_for_review","3","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 18:46:59 +0530","5f373f9","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Compliance_Document_Expiry","1",,"s",,,"e",
"Compliance_Revision_Requested","1",,"s",,,"e",
"Compliance_your_document_upload_has_started","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 18:46:59 +0530","5f373f9","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"DD_Complete_Ready_for_Deliberation","1",,"s",,,"e",
"Decision_Recorded_PL_Alert","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 14:06:03 +0530","56ad848","Configure Category 4 Reviewer email templates E-31, E-49, E-51 in Salesforce Flows"
"Decision_Under_Review","1",,"s",,,"e",
"Decline_recommended_with_reasons","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 16:42:05 +0530","391c5e2","Configure Category 5 Approver email templates (E-22, E-47, E-55, E-33), create WG_Approver_Name__c field, and deploy WCF_Approver_Email_Alert_Flow"
"Draft_Abandonment_Warning","1",,"s",,,"e",
"Draft_Saved","1",,"s",,,"e",
"Evaluation_Due_Soon","1",,"s",,,"e",
"Information_Located_Review_Can_Resume","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 14:06:03 +0530","56ad848","Configure Category 4 Reviewer email templates E-31, E-49, E-51 in Salesforce Flows"
"Internal_User_Account_Activation","1",,"s",,,"e",
"Master_MoU_Renewal_Reminder","1",,"s",,,"e",
"Master_MoU_Renewal_Reminder_Mail","1",,"s",,,"e",
"New_Application_Validator_Queue","1",,"s",,,"e",
"New_Evaluation_Assigned","1",,"s",,,"e",
"Onboarding_Complete_Partner","1",,"s",,,"e",
"Passed_to_review_with_a_flagged_concern","3","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 18:46:59 +0530","5f373f9","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Password_Changed_Confirmation","1",,"s",,,"e",
"PL_of_Record_Change","1",,"s",,,"e",
"Ready_for_decision","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 16:42:05 +0530","391c5e2","Configure Category 5 Approver email templates (E-22, E-47, E-55, E-33), create WG_Approver_Name__c field, and deploy WCF_Approver_Email_Alert_Flow"
"Reset_Password_Request1","1",,"s",,,"e",
"Resubmission_Received_Partner","1",,"s",,,"e",
"Reviewer_Evaluation_Submitted_PL_Alert","1",,"s",,,"e",
"Reviewer_Recused_PL_Alert","1",,"s",,,"e",
"Validation_Due_Soon","1",,"s",,,"e",
"Verify_Email_Address","1",,"s",,,"e",
"Welcome_to_Wadhwani_Grants_your_account_is_ready","3","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-21 11:44:48 +0530","d25ac66","Revert Welcome Email and WFGrantsSignUpController to previous working state"
"We_are_closing_your_application_for_now","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 18:46:59 +0530","5f373f9","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"We_have_paused_your_onboarding","3","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 18:46:59 +0530","5f373f9","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"We_have_received_your_compliance_documents","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 18:46:59 +0530","5f373f9","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Your_account_is_suspended","2","2026-09-11 13:18:18 +0530","ef32568","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components","2026-09-20 18:46:59 +0530","5f373f9","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
