"TemplateName","TotalCommits","CreatedCommit","CreatedDate","LastModifiedCommit","LastModifiedDate","LastCommitSubject"
"Account_Locked","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Action_Required_Update_Application","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Additional_Information_Reminder","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Additional_Information_Reminder_60days","2","ef32568","2026-09-11 13:18:18 +0530","5f373f9","2026-09-20 18:46:59 +0530","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Additional_Information_Reminder_90days","2","ef32568","2026-09-11 13:18:18 +0530","5f373f9","2026-09-20 18:46:59 +0530","feat(flows): update E-59, E-60, E-33, E-46, E-62, E-25, and E-53 email template wiring"
"Additional_Information_Requested","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Agreement_Executed_Partner","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Agreement_Ready_to_Sign","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"All_Reviews_Complete_Approver_Alert","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Application_Approved","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Application_Conditionally_Approved","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Application_Decision_Declined","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Application_Received","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Application_Validated_Under_Review","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Application_Withdrawn","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Approver_Further_Detail_Request_PL","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"Approver_Return_to_Partner","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
"A_decision_is_overdue","2","ef32568","2026-09-11 13:18:18 +0530","391c5e2","2026-09-20 16:42:05 +0530","Configure Category 5 Approver email templates (E-22, E-47, E-55, E-33), create WG_Approver_Name__c field, and deploy WCF_Approver_Email_Alert_Flow"
"Clarification_Escalation_PL","1","ef32568","2026-09-11 13:18:18 +0530","ef32568","2026-09-11 13:18:18 +0530","feat(wcf): comprehensive update for WCF RFI forms, dashboard, validator and reviewer components"
